id_version,n_classes,m_c_BC
f3f766a2e04897cc5e8fe429c7e191ee38908301,914,0.035970659
70a649f49477c19d051c0ec162e2380ce63f27b6,1010,0.034619881000000005
4bf86152c10edc77a7e1e7fe6df5f144f5d5c4e6,1022,0.036321176999999996
e2e9e299eb1e5c611dedb9c8dc360cd3f53a9555,1027,0.036458332
103fe5d5a04044b78af0826e81c74c724e1424b1,950,0.034472716
e730e4f360e8da055007681e531b6be56b2f5e49,1001,0.03409091
7a5eb4da438e513501501c76e3f100999c3c6ee4,993,0.0354251
a362a41d4d944f6be5d3ec2f93c32bc975e10c0b,987,0.030820295
373083f0d6ad6e6b00dccfdeb378d81b5a464208,950,0.034452226
16b12d300cd81aa42903dc79e28e20434a24db9a,993,0.034319196
7f32184ea438480f040833255cdc39e2c20a482d,912,0.035503143
0b834377757a16f48daa62eb89034cffee156283,951,0.03449074
3aa693810cbe8b23183662616e2e33ad3dfbba88,985,0.029668117
5584b3126e685084a1923741ed8240c6919d6d39,989,0.034302756
697f2922ca97cdd618f9b7cb7a61196fadf2aed4,950,0.034472716
6c9750fb4fa65e0c012dc00d44d2ee07a1ddd89f,935,0.03475712
eba8b1eaaeb38d90c3c811e4086fb530b59238cc,936,0.034754585000000005
4647f857ec7ac0e90135468a06cd7961ced7a4ad,989,0.034302756
bfc1ce612e463a012260cd6e48ec7a1a00c67866,1010,0.035984612
d6efc22652c8fe0f2081b48949c73aae8a1cb71b,950,0.034472716
b8ee6fb4440867f81279bc703ba0fec239fbca4a,988,0.030457197999999998
72ada4862ba3ef78899f8e0d69967adacbe0decf,993,0.03325478
0a0932c021f43ea2a14750066f4e8233e365c01f,951,0.03449074
6cd06e5bd2c3d48533366c9fcc3728c32e02ba16,1012,0.034805470000000005
a6696e78493374c9e8afb9785452dca0be505e5e,1038,0.0336917785
8f9a560794a1cc5b72481c0baf865f67d9de40a8,1015,0.036324784
89d7929f17f1284485f04089fb95db2879b7c066,931,0.035157546
743cd28b121be3e46353957fade285324b41636b,931,0.035157546
4498f04a794b9d23f15e29c295623216b054db93,1004,0.03409091
8d4e1745f983d5fc831eb755c7f68038ec484667,950,0.034472716
83fb234a198453890a35f5c9edd43c79345c4bd9,1010,0.03409091
011e5959b7d78ff073e942cf09eeb9636f28d93a,987,0.036912754
37e72fd70262f9e8066ef4e77e3a991abe560818,988,0.036956377
9868f51b9a50f2779cc457fd7c2bc07d627b6a84,913,0.035546876
3b8c58cdb2aad711f3e3b2212a3fa856794fd847,1003,0.03409091
d1d08fd31b0f93b4e7e9061e57cbc0e76752e08f,909,0.03610176
54ee37d736d0b52e3854cb1342d72a69ee18c49a,1010,0.034619881000000005
8033f8b13d8d4ee718de23e4f19a4b613bf7095e,988,0.030457197999999998
fd8760ec5f035e9ce1f0a00688ab1424f179825a,913,0.035923753
cf908cf87250d37869954efef41387e14bcb5e52,1004,0.03409091
5b58bc12bf3cb6aa426cf5c5ca3fbeb0b065dfcf,920,0.034621395
a19097b98531887e8032425cd5be0550c69644f6,988,0.0309253695
146212a53c72b7c0af7adc08638c0a6ca28cf3e8,916,0.0359240605
22453a86e861f84ea350f18d2c01cb65d0cac386,909,0.03610176
